docs.ornn.com	162.159.143.13
tye-status.fabric.ornn.com	N/A
staging.compute.ornn.com	74.125.196.121
henryornn-api.fabric.ornn.com	N/A
prathamdave-status.fabric.ornn.com	N/A
email.ornn.com	76.223.17.250
orchestrator.ornn.com	74.125.196.121
smtp.ornn.com	92.204.80.20
www.ornn.com	31.43.161.6
commerce-staging.ornn.com	35.244.175.119
harvey.ornn.com	173.194.220.121
tyephoenix-orch.fabric.ornn.com	N/A
tyephoenix.fabric.ornn.com	142.251.20.121
devin-status.fabric.ornn.com	N/A
shane277-snap-orch.fabric.ornn.com	N/A
dc-aa8e722993._spfm.ornn.com	N/A
data.ornn.com	216.150.1.1
harrisontkeen-status.fabric.ornn.com	N/A
ftp.ornn.com	31.43.161.6
pop.ornn.com	92.204.80.24
tejeswar0625-api.fabric.ornn.com	N/A
will-orch.fabric.ornn.com	N/A
prathamdave.fabric.ornn.com	N/A
shydev.fabric.ornn.com	N/A
pay.ornn.com	100.49.110.141
modal.ornn.com	216.150.16.129
willornn-orch.fabric.ornn.com	74.125.196.121
orch.ornn.com	74.125.196.121
shane277-snap.fabric.ornn.com	N/A
prahamdave-orch.fabric.ornn.com	N/A
willornn.fabric.ornn.com	74.125.196.121
vpn.ornn.com	34t.57.52.252
trust.ornn.com	104.18.27.175
henryornn-orch.fabric.ornn.com	N/A
imap.ornn.com	92.204.80.24
fabric.ornn.com	8.232.0.49
mail.ornn.com	92.204.80.24
will-status.fabric.ornn.com	N/A
willornn-status.fabric.ornn.com	142.251.110.121
pratham.fabric.ornn.com	N/A
prathamdave-api.fabric.ornn.com	N/A
staging.orchestrator.ornn.com	142.251.20.121
www.pay.ornn.com	N/A
support.ornn.com	13.224.230.32
index.ornn.com	216.150.16.193
legal.ornn.com	76.76.21.21
staging.fabric.ornn.com	142.251.110.121
tyephoenix-api.fabric.ornn.com	N/A
henryornn.fabric.ornn.com	192.178.24.115
tyephoenix-status.fabric.ornn.com	N/A
compute.ornn.com	8.232.0.49
id.ornn.com	172.64.149.246
status.ornn.com	76.76.21.164
willornn-api.fabric.ornn.com	64.233.165.121
shane277-snap-api.fabric.ornn.com	N/A
